Home,Away,Home_Goals,Away_Goals
Sapporia,Vegalia Senda,2,1
Shimizun,Nagomi,3,2
Kashirama,Iwana,2,1
G-Olympus,C-Osario,2,2
Kashiwave,FC Torii,1,1
Kawasari Foresta,Savan Taurus,1,2
Koban,Urawind,1,0
Obiya Arcadia,Hirostar,1,2
Yomoyama Mystic,Ablihex Nimbus,3,2
Sapporia,Koban,2,4
FC Torii,Obiya Arcadia,0,1
Ablihex Nimbus,Hirostar,0,2
Iwana,C-Osario,4,3
Nagomi,G-Olympus,0,5
Savan Taurus,Shimizun,0,1
Urawind,Kashirama,2,1
Vegalia Senda,Kashiwave,0,0
Yomoyama Mystic,Kawasari Foresta,2,2
Shimizun,Urawind,0,2
Kashirama,Ablihex Nimbus,0,1
C-Osario,Yomoyama Mystic,2,0
G-Olympus,Sapporia,7,2
Hirostar,FC Torii,0,1
Kashiwave,Iwana,0,3
Kawasari Foresta,Nagomi,0,1
Koban,Savan Taurus,0,0
Obiya Arcadia,Vegalia Senda,1,3
Sapporia,Shimizun,0,2
Urawind,Obiya Arcadia,1,1
FC Torii,Yomoyama Mystic,3,1
Ablihex Nimbus,C-Osario,0,1
Iwana,Hirostar,1,1
Kashirama,Koban,1,0
Nagomi,Kashiwave,1,0
Savan Taurus,G-Olympus,4,1
Vegalia Senda,Kawasari Foresta,2,1
C-Osario,Nagomi,0,2
Obiya Arcadia,Savan Taurus,1,0
G-Olympus,Ablihex Nimbus,1,1
Hirostar,Vegalia Senda,2,1
Kashiwave,Sapporia,3,1
Kawasari Foresta,Kashirama,2,2
Koban,Iwana,1,2
Shimizun,FC Torii,1,1
Yomoyama Mystic,Urawind,1,2
Kashirama,Yomoyama Mystic,1,2
Sapporia,Obiya Arcadia,0,5
Vegalia Senda,Koban,2,1
Iwana,Ablihex Nimbus,0,0
Urawind,G-Olympus,0,5
C-Osario,Shimizun,3,2
FC Torii,Kawasari Foresta,1,2
Nagomi,Hirostar,1,2
Savan Taurus,Kashiwave,3,1
Shimizun,Vegalia Senda,3,1
Hirostar,Savan Taurus,4,1
Ablihex Nimbus,Nagomi,5,0
FC Torii,Iwana,2,1
Koban,C-Osario,2,3
G-Olympus,Kashirama,2,2
Obiya Arcadia,Yomoyama Mystic,0,0
Kashiwave,Urawind,1,2
Kawasari Foresta,Sapporia,1,0
C-Osario,Savan Taurus,3,2
Yomoyama Mystic,Hirostar,0,0
Ablihex Nimbus,Koban,0,0
Kashirama,FC Torii,5,1
Kashiwave,Kawasari Foresta,1,0
Nagomi,Obiya Arcadia,0,0
Iwana,Shimizun,0,1
Urawind,Sapporia,1,2
Vegalia Senda,G-Olympus,2,1
Vegalia Senda,Urawind,3,2
Yomoyama Mystic,Iwana,4,0
Kawasari Foresta,G-Olympus,2,3
Obiya Arcadia,Ablihex Nimbus,1,1
Savan Taurus,Nagomi,1,3
Shimizun,Koban,1,1
Sapporia,Kashirama,0,0
C-Osario,FC Torii,1,1
Hirostar,Kashiwave,1,2
G-Olympus,Hirostar,1,1
Iwana,Vegalia Senda,1,1
Kashiwave,Obiya Arcadia,1,4
Nagomi,Yomoyama Mystic,1,1
Urawind,C-Osario,0,0
Ablihex Nimbus,Savan Taurus,0,2
FC Torii,Sapporia,5,0
Kashirama,Shimizun,1,2
Koban,Kawasari Foresta,3,3
Hirostar,Sapporia,3,0
Kashiwave,G-Olympus,2,2
Kawasari Foresta,Urawind,4,2
Koban,Yomoyama Mystic,1,2
Nagomi,FC Torii,1,0
Obiya Arcadia,Kashirama,0,0
Savan Taurus,Iwana,3,2
Shimizun,Ablihex Nimbus,0,1
Vegalia Senda,C-Osario,1,1
Ablihex Nimbus,Kawasari Foresta,0,1
Iwana,Nagomi,0,2
Kashirama,Vegalia Senda,3,3
Urawind,Hirostar,2,0
Yomoyama Mystic,Kashiwave,1,2
C-Osario,Obiya Arcadia,1,3
FC Torii,Koban,0,1
Sapporia,Savan Taurus,2,3
Shimizun,G-Olympus,1,3
G-Olympus,FC Torii,2,2
Hirostar,C-Osario,4,1
Nagomi,Kashirama,1,2
Savan Taurus,Urawind,3,1
Vegalia Senda,Ablihex Nimbus,0,1
Kashiwave,Koban,1,0
Kawasari Foresta,Shimizun,2,1
Obiya Arcadia,Iwana,2,0
Sapporia,Yomoyama Mystic,0,2
Ablihex Nimbus,Sapporia,4,1
C-Osario,Kawasari Foresta,2,2
FC Torii,Vegalia Senda,6,2
Iwana,G-Olympus,2,1
Kashirama,Kashiwave,2,0
Koban,Hirostar,0,1
Shimizun,Obiya Arcadia,0,0
Urawind,Nagomi,2,0
Yomoyama Mystic,Savan Taurus,1,0
C-Osario,Ablihex Nimbus,1,0
Hirostar,Urawind,1,2
Nagomi,Iwana,1,1
Savan Taurus,Kashirama,1,1
Vegalia Senda,Kofox,1,1
Yomoyama Mystic,Shonara,4,2
Obiya Arcadia,Shimizun,2,2
Oitaro,FC Torii,1,2
Kashiwave,Kawasari Foresta,3,1
Ablihex Nimbus,Hirostar,1,2
FC Torii,Kashiwave,3,0
Kashirama,Vegalia Senda,3,2
Kofox,C-Osario,1,2
Shimizun,Yomoyama Mystic,0,5
Iwana,Obiya Arcadia,0,1
Kawasari Foresta,Oitaro,1,1
Urawind,Nagomi,1,0
Shonara,Savan Taurus,1,1
Oitaro,Urawind,2,2
Savan Taurus,Kawasari Foresta,5,4
Vegalia Senda,Kashiwave,2,1
Yomoyama Mystic,Iwana,2,1
C-Osario,FC Torii,1,0
Obiya Arcadia,Ablihex Nimbus,1,1
Shonara,Shimizun,1,1
Kofox,Nagomi,0,1
Hirostar,Kashirama,0,0
C-Osario,Vegalia Senda,1,1
Shimizun,Hirostar,0,4
Iwana,Savan Taurus,3,3
Kashiwave,Oitaro,3,1
Kawasari Foresta,Kofox,1,1
Nagomi,Shonara,2,0
Obiya Arcadia,Kashirama,3,1
Ablihex Nimbus,Urawind,0,2
Yomoyama Mystic,FC Torii,3,2
FC Torii,Obiya Arcadia,0,1
Hirostar,Yomoyama Mystic,1,3
Oitaro,Kofox,0,1
Savan Taurus,Shimizun,0,1
Vegalia Senda,Ablihex Nimbus,0,1
Kashirama,C-Osario,1,0
Kashiwave,Nagomi,3,3
Shonara,Kawasari Foresta,1,1
Urawind,Iwana,2,1
Kofox,Kashiwave,3,1
Nagomi,Ablihex Nimbus,2,0
Oitaro,Kashirama,2,3
Vegalia Senda,FC Torii,2,1
Yomoyama Mystic,Kawasari Foresta,2,1
Shimizun,Iwana,1,0
C-Osario,Obiya Arcadia,1,2
Hirostar,Savan Taurus,2,0
Urawind,Shonara,2,0
Kawasari Foresta,Vegalia Senda,4,2
Shimizun,C-Osario,1,1
FC Torii,Nagomi,3,1
Savan Taurus,Kashiwave,0,3
Iwana,Hirostar,0,2
Obiya Arcadia,Urawind,1,0
Shonara,Oitaro,2,1
Ablihex Nimbus,Yomoyama Mystic,1,0
Kashirama,Kofox,0,0
Kashiwave,Obiya Arcadia,0,4
Ablihex Nimbus,Kashirama,2,3
C-Osario,Oitaro,0,0
Nagomi,Hirostar,1,1
Iwana,Shonara,4,0
Yomoyama Mystic,Kofox,1,1
Urawind,Shimizun,0,1
FC Torii,Kawasari Foresta,2,0
Vegalia Senda,Savan Taurus,1,1
Oitaro,Obiya Arcadia,0,2
Kofox,Iwana,2,1
Shimizun,Ablihex Nimbus,1,2
Yomoyama Mystic,Kashirama,1,1
Shonara,C-Osario,0,3
Savan Taurus,FC Torii,2,3
Kawasari Foresta,Nagomi,2,1
Ablihex Nimbus,Kofox,1,1
Shimizun,Kawasari Foresta,1,2
FC Torii,Iwana,2,2
Obiya Arcadia,Hirostar,2,1
C-Osario,Urawind,2,2
Kashirama,Shonara,1,0
Oitaro,Savan Taurus,2,4
Kashiwave,Yomoyama Mystic,2,1
Nagomi,Vegalia Senda,0,2
Hirostar,Oitaro,1,0
Iwana,Kashiwave,0,1
Savan Taurus,Ablihex Nimbus,1,3
Vegalia Senda,Obiya Arcadia,2,1
Kawasari Foresta,C-Osario,2,2
Nagomi,Yomoyama Mystic,1,2
Kofox,Shimizun,0,2
Shonara,FC Torii,3,2
Urawind,Kashirama,3,1
Ablihex Nimbus,Oitaro,2,3
Hirostar,Kofox,5,1
Iwana,Kawasari Foresta,2,4
Kashirama,Nagomi,3,1
Kashiwave,C-Osario,1,3
Yomoyama Mystic,Vegalia Senda,0,0
Obiya Arcadia,Shonara,2,1
FC Torii,Shimizun,2,0
Urawind,Savan Taurus,6,2
Kofox,Obiya Arcadia,0,3
Shimizun,Vegalia Senda,2,0
Shonara,Hirostar,0,2
Kawasari Foresta,Ablihex Nimbus,2,1
Savan Taurus,Yomoyama Mystic,0,1
Oitaro,Iwana,1,1
Kashirama,FC Torii,3,2
C-Osario,Nagomi,2,1
Kashiwave,Urawind,2,6
Hirostar,Kashiwave,0,0
Urawind,Vegalia Senda,1,1
Kofox,Urawind,0,1
FC Torii,Hirostar,0,1
Ablihex Nimbus,Kashiwave,3,2
Iwana,C-Osario,2,2
Kawasari Foresta,Kashirama,4,2
Nagomi,Shimizun,2,1
Obiya Arcadia,Savan Taurus,1,1
Vegalia Senda,Shonara,0,0
Yomoyama Mystic,Oitaro,1,1
C-Osario,Yomoyama Mystic,2,1
Hirostar,Kawasari Foresta,4,2
Iwana,Ablihex Nimbus,2,1
Kashirama,Shimizun,3,1
Oitaro,Vegalia Senda,0,1
Obiya Arcadia,Nagomi,2,1
Savan Taurus,Kofox,2,1
Shonara,Kashiwave,1,2
Urawind,FC Torii,2,2
Shimizun,Oitaro,3,1
Kofox,Shonara,0,1
Ablihex Nimbus,FC Torii,0,3
Hirostar,C-Osario,1,0
Kashiwave,Kashirama,2,1
Kawasari Foresta,Urawind,4,0
Nagomi,Savan Taurus,3,2
Vegalia Senda,Iwana,1,1
Yomoyama Mystic,Obiya Arcadia,2,1
C-Osario,Savan Taurus,4,1
Kashirama,Iwana,1,1
Kashiwave,Shimizun,2,2
Oitaro,Nagomi,1,2
Obiya Arcadia,Kawasari Foresta,2,3
Shonara,Ablihex Nimbus,0,2
Urawind,Yomoyama Mystic,2,3
Vegalia Senda,Hirostar,0,2
FC Torii,Kofox,4,1
Ablihex Nimbus,C-Osario,1,0
Hirostar,Obiya Arcadia,3,1
Iwana,Urawind,1,2
Kawasari Foresta,Shonara,1,2
Kofox,Vegalia Senda,0,1
Savan Taurus,Oitaro,3,2
Shimizun,FC Torii,0,0
Nagomi,Kashirama,3,1
Yomoyama Mystic,Kashiwave,1,1
Urawind,Hirostar,3,1
Kashirama,Obiya Arcadia,1,0
Ablihex Nimbus,Shimizun,3,1
C-Osario,Kofox,0,1
FC Torii,Oitaro,2,0
Iwana,Nagomi,2,3
Kashiwave,Savan Taurus,2,1
Shonara,Yomoyama Mystic,1,2
Vegalia Senda,Kawasari Foresta,2,1
Shimizun,Shonara,3,1
Kofox,Ablihex Nimbus,1,1
Hirostar,Iwana,2,1
Kawasari Foresta,FC Torii,2,2
Nagomi,Urawind,2,0
Oitaro,Kashiwave,0,0
Obiya Arcadia,C-Osario,0,3
Vegalia Senda,Kashirama,2,1
Yomoyama Mystic,Savan Taurus,2,1
Urawind,Oitaro,4,3
FC Torii,Yomoyama Mystic,0,2
Kashirama,Ablihex Nimbus,1,0
Kofox,Kawasari Foresta,1,3
C-Osario,Shimizun,4,1
Hirostar,Nagomi,1,1
Kashiwave,Vegalia Senda,0,0
Savan Taurus,Obiya Arcadia,2,1
Shonara,Iwana,1,1
Shimizun,Urawind,0,2
Ablihex Nimbus,Kawasari Foresta,2,1
Iwana,FC Torii,0,0
Kashirama,Yomoyama Mystic,2,1
Nagomi,C-Osario,1,1
Oitaro,Hirostar,1,1
Obiya Arcadia,Kashiwave,2,3
Savan Taurus,Vegalia Senda,1,0
Shonara,Kofox,1,2
Ablihex Nimbus,Iwana,4,2
FC Torii,Savan Taurus,2,3
Kashiwave,Shonara,5,2
Kawasari Foresta,Obiya Arcadia,2,1
Kofox,Hirostar,2,0
Nagomi,Oitaro,2,1
Shimizun,Kashirama,4,3
Vegalia Senda,C-Osario,1,1
Yomoyama Mystic,Urawind,3,0
Urawind,Ablihex Nimbus,1,0
Kashirama,Kashiwave,3,1
C-Osario,Kawasari Foresta,0,0
Hirostar,FC Torii,1,2
Iwana,Kofox,1,1
Oitaro,Shimizun,2,3
Obiya Arcadia,Yomoyama Mystic,1,0
Savan Taurus,Nagomi,1,1
Shonara,Vegalia Senda,3,2
Kashiwave,Iwana,1,3
Shimizun,Nagomi,2,1
FC Torii,Urawind,3,2
Kofox,Kashirama,3,0
Ablihex Nimbus,Obiya Arcadia,1,0
Kawasari Foresta,Hirostar,2,0
Savan Taurus,Shonara,1,0
Vegalia Senda,Oitaro,6,0
Yomoyama Mystic,C-Osario,1,1
Hirostar,Ablihex Nimbus,2,0
Iwana,Kashirama,2,3
Obiya Arcadia,Vegalia Senda,0,2
Urawind,Kofox,1,1
Kawasari Foresta,Savan Taurus,0,1
Nagomi,FC Torii,0,2
Oitaro,Shonara,1,2
Yomoyama Mystic,Shimizun,1,0
C-Osario,Kashiwave,1,1
Vegalia Senda,Yomoyama Mystic,0,0
Kashiwave,Ablihex Nimbus,1,1
Savan Taurus,Hirostar,0,2
Shimizun,Kofox,2,1
Kashirama,Oitaro,3,1
Shonara,Urawind,2,2
C-Osario,Iwana,2,0
Obiya Arcadia,FC Torii,2,5
Nagomi,Kawasari Foresta,1,2
Iwana,Vegalia Senda,1,1
Ablihex Nimbus,Savan Taurus,3,1
Hirostar,Shimizun,3,1
Oitaro,C-Osario,0,2
Shonara,Nagomi,1,1
Urawind,Obiya Arcadia,4,0
FC Torii,Kashirama,1,4
Kofox,Yomoyama Mystic,0,0
Kawasari Foresta,Kashiwave,3,1
Vegalia Senda,Nagomi,2,1
Kashirama,Urawind,1,2
Kashiwave,Kofox,2,0
Kawasari Foresta,Iwana,2,1
Shimizun,Savan Taurus,6,4
Yomoyama Mystic,Hirostar,1,0
Obiya Arcadia,Oitaro,0,1
FC Torii,Ablihex Nimbus,2,0
C-Osario,Shonara,2,1
Hirostar,Vegalia Senda,1,0
Ablihex Nimbus,Shonara,3,2
Kofox,FC Torii,1,1
Iwana,Shimizun,0,1
Kashirama,Kawasari Foresta,4,1
Nagomi,Obiya Arcadia,2,1
Oitaro,Yomoyama Mystic,0,1
Urawind,Kashiwave,2,1
Savan Taurus,C-Osario,2,0
FC Torii,C-Osario,1,2
Kashiwave,Hirostar,1,1
Shonara,Kashirama,1,2
Yomoyama Mystic,Nagomi,1,2
Oitaro,Ablihex Nimbus,1,3
Savan Taurus,Iwana,1,0
Kawasari Foresta,Shimizun,2,0
Obiya Arcadia,Kofox,1,2
Vegalia Senda,Urawind,3,3
C-Osario,Hirostar,1,0
Iwana,Yomoyama Mystic,0,1
Kashirama,Savan Taurus,1,2
Shimizun,Obiya Arcadia,1,0
Urawind,Kawasari Foresta,1,3
Ablihex Nimbus,Vegalia Senda,1,0
FC Torii,Shonara,2,1
Kofox,Oitaro,0,0
Nagomi,Kashiwave,3,2
C-Osario,Kashirama,1,2
Hirostar,Shonara,1,0
Obiya Arcadia,Iwana,3,0
Savan Taurus,Urawind,4,1
Yomoyama Mystic,Ablihex Nimbus,0,2
Kashiwave,FC Torii,4,1
Nagomi,Kofox,0,0
Oitaro,Kawasari Foresta,0,1
Vegalia Senda,Shimizun,1,2
Ablihex Nimbus,Nagomi,2,0
FC Torii,Vegalia Senda,2,0
Iwana,Oitaro,3,1
Kashirama,Hirostar,0,2
Kawasari Foresta,Yomoyama Mystic,1,0
Kofox,Savan Taurus,0,0
Shimizun,Kashiwave,1,2
Shonara,Obiya Arcadia,0,1
Urawind,C-Osario,2,5
C-Osario,Hirostar,0,1
Kofox,Kashirama,0,4
Nagomi,Shimizun,2,3
Savan Taurus,Tokushira,5,0
Vegalia Senda,Ablihex Nimbus,1,2
Kashiwave,FC Torii,1,1
G-Olympus,Urawind,0,1
Yomoyama Mystic,Obiya Arcadia,2,0
Kawasari Foresta,Koban,2,2
Hirostar,Kawasari Foresta,2,1
Ablihex Nimbus,G-Olympus,0,2
Tokushira,C-Osario,0,2
FC Torii,Kofox,1,1
Koban,Kashiwave,1,1
Obiya Arcadia,Nagomi,1,2
Shimizun,Yomoyama Mystic,0,1
Urawind,Savan Taurus,0,1
Kashirama,Vegalia Senda,2,0
Yomoyama Mystic,Tokushira,3,0
Hirostar,Urawind,0,2
Kofox,Ablihex Nimbus,1,1
C-Osario,Shimizun,4,1
Kashiwave,Nagomi,0,1
Kawasari Foresta,Obiya Arcadia,3,4
Savan Taurus,Kashirama,0,3
Vegalia Senda,G-Olympus,0,0
Koban,FC Torii,2,1
Ablihex Nimbus,Savan Taurus,1,0
Kofox,Yomoyama Mystic,1,0
Tokushira,Kashiwave,0,2
Kashirama,C-Osario,0,2
Nagomi,Koban,2,1
Obiya Arcadia,Vegalia Senda,4,0
Urawind,Shimizun,1,1
G-Olympus,Hirostar,1,1
FC Torii,Kawasari Foresta,0,4
Kawasari Foresta,Nagomi,1,0
C-Osario,Ablihex Nimbus,0,0
Hirostar,Tokushira,3,1
Vegalia Senda,Kofox,1,1
Yomoyama Mystic,Kashirama,1,3
Kashiwave,Obiya Arcadia,2,2
Koban,Urawind,3,1
Shimizun,FC Torii,1,3
Savan Taurus,G-Olympus,2,0
Ablihex Nimbus,Yomoyama Mystic,0,0
Nagomi,Hirostar,2,5
Tokushira,Kawasari Foresta,0,4
Kashiwave,C-Osario,2,1
Kofox,Shimizun,0,1
Obiya Arcadia,Koban,0,3
FC Torii,Savan Taurus,2,1
G-Olympus,Kashirama,0,2
Urawind,Vegalia Senda,4,0
Kawasari Foresta,Kashiwave,1,1
C-Osario,G-Olympus,2,2
Yomoyama Mystic,Vegalia Senda,0,2
Kashirama,Ablihex Nimbus,1,2
Koban,Tokushira,3,0
Nagomi,Urawind,1,2
Shimizun,Obiya Arcadia,2,0
Savan Taurus,Kofox,2,0
Hirostar,FC Torii,1,0
Tokushira,Shimizun,0,4
Vegalia Senda,Savan Taurus,0,3
Kashirama,Koban,2,3
Kashiwave,Yomoyama Mystic,0,0
FC Torii,C-Osario,2,0
G-Olympus,Obiya Arcadia,2,1
Urawind,Kawasari Foresta,1,0
Kofox,Nagomi,2,0
Ablihex Nimbus,Hirostar,0,0
Kashiwave,Urawind,3,2
Shimizun,Vegalia Senda,1,0
Tokushira,Ablihex Nimbus,1,2
Yomoyama Mystic,FC Torii,0,1
Koban,C-Osario,2,2
Nagomi,Savan Taurus,2,3
Kawasari Foresta,G-Olympus,2,1
Obiya Arcadia,Kofox,0,2
Hirostar,Kashirama,0,3
FC Torii,Nagomi,0,1
Kofox,Tokushira,0,1
Ablihex Nimbus,Koban,1,1
Savan Taurus,Hirostar,1,2
Kashirama,Shimizun,2,1
G-Olympus,Kashiwave,1,2
Urawind,Yomoyama Mystic,1,0
Vegalia Senda,Kawasari Foresta,0,0
C-Osario,Obiya Arcadia,1,1
Kashiwave,Kashirama,1,0
Tokushira,Vegalia Senda,0,1
Yomoyama Mystic,G-Olympus,2,0
Kawasari Foresta,Kofox,2,0
Koban,Hirostar,0,0
Shimizun,Savan Taurus,0,1
Urawind,FC Torii,1,0
Obiya Arcadia,Ablihex Nimbus,2,2
Nagomi,C-Osario,1,2
FC Torii,Obiya Arcadia,0,1
Vegalia Senda,Koban,4,3
Ablihex Nimbus,Shimizun,2,1
Kashirama,Nagomi,1,2
Savan Taurus,Kashiwave,1,0
Kofox,Urawind,0,0
G-Olympus,Tokushira,3,0
Nagomi,G-Olympus,1,2
Hirostar,Shimizun,1,1
Tokushira,FC Torii,0,0
Yomoyama Mystic,Savan Taurus,1,2
Kawasari Foresta,Kashirama,4,1
Koban,Kofox,1,0
C-Osario,Vegalia Senda,0,1
Obiya Arcadia,Urawind,0,2
Kashiwave,Ablihex Nimbus,1,0
Kofox,Kashiwave,3,0
Shimizun,Koban,1,1
Urawind,C-Osario,1,0
Ablihex Nimbus,Nagomi,1,1
Savan Taurus,Obiya Arcadia,1,1
FC Torii,G-Olympus,3,0
Kashirama,Tokushira,1,0
Vegalia Senda,Hirostar,1,0
Kawasari Foresta,Yomoyama Mystic,0,3
C-Osario,Kawasari Foresta,1,2
Hirostar,Yomoyama Mystic,1,2
Shimizun,Kawasari Foresta,0,2
Urawind,Ablihex Nimbus,1,0
FC Torii,Kashirama,1,1
C-Osario,Yomoyama Mystic,2,2
G-Olympus,Kofox,2,0
Kashiwave,Vegalia Senda,0,0
Koban,Savan Taurus,0,1
Nagomi,Tokushira,1,1
Obiya Arcadia,Hirostar,3,3
Ablihex Nimbus,FC Torii,0,1
G-Olympus,Shimizun,4,0
Hirostar,Kashiwave,5,2
Kashirama,Obiya Arcadia,2,2
Kofox,C-Osario,0,0
Savan Taurus,Kawasari Foresta,0,1
Tokushira,Urawind,0,2
Vegalia Senda,Nagomi,3,3
Yomoyama Mystic,Koban,1,1
Shimizun,Kashiwave,3,0
Urawind,Kashirama,1,1
FC Torii,Vegalia Senda,3,0
C-Osario,Savan Taurus,0,1
Hirostar,Kofox,1,1
Kawasari Foresta,Ablihex Nimbus,1,0
Koban,G-Olympus,1,5
Nagomi,Yomoyama Mystic,1,1
Obiya Arcadia,Tokushira,1,3
G-Olympus,Yomoyama Mystic,2,0
FC Torii,Shimizun,4,0
Kashirama,Hirostar,5,1
Tokushira,Kofox,2,2
Ablihex Nimbus,C-Osario,1,0
Kashiwave,Kawasari Foresta,4,1
Savan Taurus,Nagomi,1,0
Urawind,Koban,2,2
