Order,area,price,OverallQual,OverallCond,YearBuilt,BsmtFinSF1,X1stFlrSF,X2ndFlrSF
80,1230,110000,5,6,1910,0,682,548
81,2142,193500,6,6,1968,448,1182,960
82,1337,153500,6,5,1998,1201,1337,0
83,1563,245000,8,5,2007,33,1563,0
84,1065,126500,5,5,1960,0,1065,0
85,1474,168500,7,5,1995,0,804,670
86,2417,260000,8,5,1991,0,1301,1116
87,1560,174000,6,5,2005,0,684,876
88,1224,164500,6,5,2009,0,612,612
89,1526,85000,3,2,1915,0,1013,0
90,990,123600,4,5,1994,588,990,0
91,1040,109900,4,5,1950,0,1040,0
92,1235,98600,5,3,1961,600,1235,0
93,964,163500,5,7,1921,713,964,0
94,2291,133900,6,6,1910,1046,1260,1031
95,1786,204750,6,5,1997,648,905,881
96,1470,185000,6,8,1993,310,680,790
97,1588,214000,7,5,1999,1162,1588,0
98,960,94750,4,5,1965,520,960,0
99,835,83000,5,5,1920,108,835,0
100,1225,128950,4,5,1959,569,1225,0
101,1610,205000,6,7,1977,1200,1610,0
102,1732,178000,6,5,1985,0,977,755
103,1535,118964,5,5,1979,0,1535,0
104,1226,198900,7,5,2009,0,1226,0
105,1818,169500,7,4,1931,224,1226,592
106,1992,250000,8,5,2003,0,1053,939
107,1047,100000,4,7,1885,0,1047,0
108,789,115000,5,5,1948,104,789,0
109,1517,115000,5,7,1919,0,997,520
110,1844,190000,6,6,1977,705,1844,0
111,1855,136900,6,4,1954,444,1216,639
112,1430,180000,7,5,2000,250,774,656
113,2696,383970,7,5,2007,984,1282,1414
114,2259,217000,6,5,1953,35,2259,0
115,2320,259500,6,8,1945,774,1436,884
116,1458,176000,6,5,1999,419,729,729
117,1092,139000,5,5,1962,170,1092,0
118,1125,155000,5,5,2006,0,1125,0
119,3222,320000,7,5,1990,1470,1699,1523
120,1456,163990,6,5,2005,0,728,728
121,988,180000,6,5,1969,938,988,0
122,1123,100000,4,5,1939,0,772,351
123,1080,136000,6,7,1958,570,1080,0
124,1199,153900,6,5,1993,300,1199,0
125,1586,181000,6,5,1979,0,1586,0
126,754,84500,6,8,1935,490,520,0
127,958,128000,6,5,1976,120,958,0
128,840,87000,5,7,1930,116,840,0
129,1348,155000,6,5,1966,512,660,688
130,1053,150000,5,7,1958,567,1053,0
131,2157,226000,7,6,1966,445,1216,941
132,2054,244000,6,5,2000,695,1022,1032
133,1327,150750,5,6,1959,405,1327,0
134,1296,220000,8,5,2001,1005,1296,0
135,1721,180000,5,6,1968,570,1721,0
136,1682,174000,7,6,1970,0,1682,0
137,1214,143000,5,5,1967,695,1214,0
138,1959,171000,7,5,1988,0,1959,0
139,1852,230000,8,5,1999,668,1004,848
140,1764,231500,6,5,1997,821,928,836
141,864,115000,4,5,1971,432,864,0
142,1734,260000,7,5,2005,1300,1734,0
143,1385,166000,5,4,1952,507,910,475
144,1501,204000,7,5,1999,679,1501,0
145,1728,125000,5,5,1963,1332,1728,0
146,1709,130000,6,5,2004,0,970,739
147,875,105000,5,7,1931,209,875,0
148,2035,222500,7,5,2001,0,884,1151
149,1080,141000,7,5,2004,680,1080,0
150,1344,115000,5,4,1936,0,896,448
151,969,122000,5,6,1975,716,969,0
152,1710,372402,8,5,2007,1400,1710,0
153,1993,190000,6,5,1971,416,1097,896
154,1252,235000,6,7,1960,429,1252,0
155,1200,125000,6,5,1923,0,1200,0
156,1096,79000,6,5,1924,0,572,524
157,1040,109500,5,7,1950,0,1040,0
158,1968,269500,8,5,2009,0,774,1194
159,1947,254900,7,5,2004,222,991,956
160,2462,320000,7,5,2005,57,1392,1070
161,1232,162500,6,6,1984,660,1232,0
162,2668,412500,9,5,2003,1016,1572,1096
163,1541,220000,7,5,2005,1201,1541,0
164,882,103200,4,6,1956,0,882,0
165,1616,152000,6,7,1926,370,1149,467
166,1355,127500,5,7,1940,351,808,547
167,1867,190000,5,5,1955,379,1867,0
168,2161,325624,8,5,2007,1288,1610,551
169,1720,183500,7,5,2004,0,840,880
170,1707,228000,8,6,1981,0,1707,0
171,1382,128500,5,6,1941,360,854,0
172,1656,215000,6,5,1960,639,1656,0
173,1767,239000,7,7,1987,495,1064,703
174,1362,163000,6,5,1961,288,1362,0
175,1651,184000,6,5,1986,1398,1651,0
176,2158,243000,6,7,1950,477,2158,0
177,2060,211000,6,5,1988,831,1164,896
178,1920,172500,5,5,1958,57,1252,668
179,2234,501837,9,5,2008,1904,2234,0
180,968,100000,5,6,1923,0,968,0
181,1525,177000,6,5,2000,436,769,756
182,1802,200100,7,6,1920,352,901,901
183,1340,120000,5,6,1957,0,1340,0
184,2082,200000,7,5,2003,0,1362,720
185,1252,127000,5,8,1908,0,936,316
186,3608,475000,10,9,1892,0,1518,1518
187,1217,173000,7,5,1990,611,1217,0
188,1656,135000,5,7,1916,0,808,704
189,1224,153337,5,5,1979,1086,1224,0
190,1593,286000,8,5,2001,1153,1593,0
191,2727,315000,8,8,1932,297,1549,1178
192,1479,184000,7,9,1972,626,725,754
193,1431,192000,7,5,1999,560,1431,0
194,1709,130000,7,5,2004,0,970,739
195,864,127000,5,7,1972,390,864,0
196,1456,148500,6,6,1976,566,855,601
197,1726,311872,7,5,2007,1126,1726,0
198,3112,235000,8,4,1918,1036,1360,1360
199,2229,104000,6,6,1912,0,929,929
200,1713,274900,8,5,2004,1088,1713,0
201,1121,140000,4,5,2003,0,1121,0
202,1279,171500,6,6,1977,641,1279,0
203,1310,112000,6,6,1924,617,865,445
204,848,149000,6,5,2004,662,848,0
205,1284,110000,5,7,1947,312,720,564
206,1442,180500,7,5,1990,0,1442,0
207,1696,143900,5,5,1962,0,1696,0
208,1100,141000,4,5,1960,419,1100,0
209,2062,277000,7,5,1988,1065,1180,882
210,1092,145000,6,7,1964,787,1092,0
211,864,98000,5,6,1925,468,864,0
212,1212,186000,6,5,2009,36,1212,0
213,1852,252678,7,5,2009,822,932,920
214,990,156000,5,5,1995,716,990,0
215,1392,161750,6,7,1977,378,689,703
216,1236,134450,5,6,1957,360,1236,0
217,1436,210000,7,5,2004,946,1436,0
218,1328,107000,4,4,1925,0,810,518
219,1954,311500,7,9,1939,341,1137,817
220,1248,167240,7,5,2005,16,1248,0
221,1498,204900,7,5,2006,0,1498,0
222,2267,200000,6,5,2002,0,1010,1257
223,1552,179900,6,6,1975,550,811,741
224,864,97000,4,6,1971,524,864,0
225,2392,386250,10,5,2003,56,2392,0
226,1302,112000,5,5,1971,0,630,672
227,2520,290000,7,5,1995,565,1214,1306
228,987,106000,6,6,1970,321,483,504
229,912,125000,5,5,1967,842,912,0
230,1555,192500,7,5,2005,16,1555,0
231,1194,148000,6,6,1959,0,1194,0
232,2794,403000,8,5,1995,689,1490,1304
233,987,94500,6,5,1972,0,483,504
234,894,128200,5,6,1976,182,894,0
235,1960,216500,6,5,2002,625,860,1100
236,987,89500,6,3,1971,358,483,504
237,1414,185500,7,5,2004,24,1414,0
238,1744,194500,7,7,1993,402,1014,730
239,1694,318000,8,5,2007,0,1694,0
240,1487,113000,6,4,1945,94,798,689
241,1566,262500,8,5,2008,1078,1566,0
242,866,110500,5,9,1945,329,866,0
243,1440,79000,5,4,1900,0,889,551
244,1217,120000,6,6,1980,0,626,591
245,2110,205000,7,5,1994,695,1222,888
246,1872,241500,7,5,1988,929,1872,0
247,1928,137000,6,8,1910,0,908,1020
248,1375,140000,6,5,1954,0,1375,0
249,1668,180000,7,5,2003,0,840,828
250,2144,277000,6,7,1958,697,1444,700
251,1306,76500,3,2,1940,0,1306,0
252,1625,235000,8,5,2006,1573,1625,0
253,1640,173000,6,5,2004,0,798,842
254,1302,158000,6,7,1964,270,1302,0
255,1314,145000,5,6,1957,922,1314,0
256,2291,230000,7,5,1999,0,1005,1286
257,1728,207500,6,5,2003,503,864,864
258,1604,220000,7,5,2006,1334,1604,0
259,1792,231500,7,5,2001,361,963,829
260,882,97000,5,5,1956,0,882,0
261,1382,176000,6,5,1962,672,1382,0
262,2574,276000,8,5,2007,0,1482,1092
263,1212,151000,6,7,1977,506,1212,0
264,1316,130000,5,7,1929,234,926,0
265,764,73000,5,5,1925,0,764,0
266,1422,175500,6,6,1981,588,1422,0
267,1511,185000,6,5,1997,714,802,709
268,2192,179500,5,8,1939,378,1052,720
269,778,120500,5,6,1940,403,778,0
270,1113,148000,6,7,1976,751,1113,0
271,1939,266000,8,5,2006,0,1095,844
272,1363,241500,7,7,1954,226,1363,0
273,2270,290000,8,7,1999,524,1164,1106
274,1632,139000,6,6,1958,620,1632,0
275,816,124500,5,7,1982,546,816,0
276,1548,205000,7,7,1925,0,952,596
277,1560,201000,7,5,2003,0,1560,0
278,864,141000,4,5,1951,120,864,0
279,2121,415298,9,5,2006,0,2121,0
280,2022,192000,7,5,1977,392,1156,866
281,1982,228500,7,6,1989,421,1175,807
282,1262,185000,6,5,2006,905,1262,0
283,1314,207500,7,5,2007,904,1314,0
284,1468,244600,8,5,2008,0,1468,0
285,1575,179200,6,5,1992,430,1575,0
286,1250,164700,7,5,2006,0,625,625
287,1734,159000,6,7,1962,600,1085,649
288,858,88000,4,4,1971,614,858,0
289,900,122000,5,5,1967,450,900,0
290,1396,153575,6,7,1915,0,698,698
291,1919,233230,8,5,2006,0,1079,840
292,1716,135900,5,6,1912,210,936,780
293,1716,131000,5,4,1949,292,1148,568
294,2263,235000,7,7,1977,795,1468,795
295,1644,167000,6,5,1953,1285,1644,0
296,1003,142500,6,6,1984,819,1003,0
297,1558,152000,5,5,1950,420,910,648
298,1950,239000,7,5,1997,649,975,975
299,1743,175000,6,6,1968,384,1041,702
300,1152,158500,6,8,1950,0,1152,0
301,1336,157000,5,5,1953,841,1336,0
302,2452,267000,8,5,1998,281,1210,1242
303,1541,205000,7,5,2001,0,1541,0
304,894,149900,5,7,1972,894,894,0
305,3493,295000,7,9,1880,0,1675,1818
306,2000,305900,8,5,2004,1464,2000,0
307,2243,225000,7,5,1990,700,1122,1121
308,1406,89500,6,7,1920,0,1035,371
309,861,82500,4,5,1940,262,861,0
310,1944,360000,9,5,2003,1274,1944,0
311,1501,165600,6,5,1993,518,697,804
312,972,132000,6,6,1948,680,972,0
313,1118,119900,5,7,1939,507,793,325
314,2036,375000,7,5,1965,1236,2036,0
315,1641,178000,7,7,1925,16,832,809
316,1432,188500,7,5,2004,425,716,716
317,2353,260000,7,7,1980,692,1153,1200
318,1959,270000,8,5,2006,0,1088,871
319,2646,260000,7,5,1993,987,1372,1274
320,1472,187500,7,5,1980,1036,1472,0
321,2596,342643,9,5,2006,0,1249,1347
322,2468,354000,8,5,2004,970,1136,1332
323,2730,301000,7,5,1986,28,1553,1177
324,1163,126175,3,8,1955,256,1163,0
325,2978,242000,7,7,1967,0,1898,1080
326,803,87000,5,6,1941,116,803,0
327,1719,324000,8,5,1993,1619,1719,0
328,1383,145250,6,5,1960,565,1383,0
329,2134,214500,6,6,1916,0,1445,689
330,1192,78000,5,5,1920,0,596,596
331,1728,119000,5,4,1964,40,1728,0
332,1056,139000,5,6,1958,846,1056,0
333,1629,284000,8,5,2003,1124,1629,0
334,1358,207000,7,5,2004,720,1358,0
335,1638,192000,6,5,1998,828,943,695
336,1786,228950,5,6,1965,1249,1619,167
337,1922,377426,9,5,2005,1249,1922,0
338,1536,214000,7,5,2002,810,1536,0
339,1621,202500,7,7,1984,213,1621,0
340,1215,155000,6,7,1958,585,1215,0
341,1908,202900,8,5,2002,0,993,915
342,841,82000,4,4,1950,0,841,0
343,1040,87500,3,4,1949,0,1040,0
344,1684,266000,9,5,2005,28,1684,0
345,1112,85000,5,3,1976,129,536,576
346,1577,140200,6,5,1939,0,972,605
347,958,151500,6,8,1960,498,958,0
348,1478,157500,6,5,1960,1270,1478,0
349,1626,154000,7,5,2003,573,764,862
350,2728,437154,9,5,2005,1410,1848,880
351,1869,318061,9,5,2007,0,1869,0
352,1453,190000,7,5,1986,1082,1453,0
353,1111,95000,5,6,1941,236,616,495
354,720,105900,6,8,1928,0,720,0
355,1595,140000,6,5,1940,388,1192,403
356,1200,177500,6,5,1995,334,1200,0
357,1167,173000,6,6,1992,560,1167,0
358,1142,134000,5,5,1976,874,1142,0
359,1352,130000,5,4,1958,300,1352,0
360,1924,280000,8,5,1998,956,1086,838
361,912,156000,6,6,1978,773,912,0
362,1505,145000,5,5,1940,399,988,517
363,1922,198500,7,5,2003,0,495,1427
364,987,118000,6,8,1972,162,483,504
365,1574,190000,6,5,1976,712,790,784
366,1344,147000,5,7,1920,456,672,672
367,1394,159000,6,5,1963,609,1394,0
368,1431,165000,6,5,1962,371,1431,0
369,1268,132000,5,6,1954,540,1268,0
370,1287,162000,5,7,1959,72,1287,0
371,1664,172400,6,5,2000,0,953,711
372,1588,134432,4,4,1959,0,1120,468
373,752,125000,6,5,1984,623,752,0
374,1319,123000,5,6,1953,428,1319,0
375,1928,219500,7,5,2003,0,847,1081
376,904,61000,1,1,1922,350,904,0
377,914,148000,5,5,1996,298,914,0
378,2466,340000,8,5,2004,0,1580,886
379,1856,394432,9,2,2010,1445,1856,0
380,1800,179000,6,5,2000,0,1007,793
381,1691,127000,5,6,1924,218,1026,665
382,1301,187750,7,5,2006,0,1301,0
383,1797,213500,7,5,2006,0,939,858
384,784,76000,6,3,1928,0,784,0
385,1953,240000,6,5,1992,985,1079,874
386,1269,192000,8,5,2004,24,1269,0
387,1184,81000,5,3,1910,0,658,526
388,1125,125000,6,6,1976,631,1125,0
389,1479,191000,7,5,1999,0,1479,0
390,2332,426000,10,5,2007,1280,1742,590
391,1367,119000,5,8,1900,241,961,406
392,1961,215000,6,5,2001,690,804,1157
393,882,106500,5,7,1959,0,882,0
394,788,100000,4,5,1941,266,788,0
395,1034,109000,5,6,1940,0,735,299
396,1144,129000,5,6,1956,739,1144,0
397,894,123000,5,5,1972,777,894,0
398,1812,169500,5,5,1962,540,876,936
399,1077,67000,5,2,1920,0,1077,0
400,1550,241000,7,5,2006,812,1112,438
401,1288,245500,8,5,1996,786,1288,0
402,1310,164990,7,5,2005,24,1310,0
403,672,108000,5,8,1940,0,672,0
404,2263,258000,8,5,1998,0,1165,1098
405,1572,168000,6,5,1995,0,806,766
406,1620,150000,4,4,1976,1116,1620,0
407,1639,115000,6,5,1936,0,1166,0
408,1680,177000,6,7,1915,0,840,840
409,2172,280000,7,5,2006,0,1071,1101
410,2078,339750,8,5,2007,789,1050,1028
411,1276,60000,5,3,1958,0,1276,0
412,1056,145000,5,5,1955,1056,1056,0
413,1478,222000,7,5,2009,578,1478,0
414,1028,115000,5,6,1927,0,1028,0
415,2097,228000,7,5,1993,50,1080,1017
416,1340,181134,7,5,2007,24,1340,0
417,1400,149500,6,7,1978,209,672,728
418,2624,239000,6,6,1918,1128,1370,1254
419,1134,126000,5,6,1940,312,756,378
420,1056,142000,5,6,1968,775,1056,0
421,1344,206300,7,5,1997,1309,1344,0
422,1602,215000,6,7,1977,1246,1602,0
423,988,113000,5,5,1954,0,988,0
424,2630,315000,8,5,1998,986,1470,1160
425,1196,139000,6,5,1956,616,1196,0
426,1389,135000,7,8,1946,0,707,682
427,1644,275000,7,5,1989,1518,1644,0
428,907,109008,4,6,1957,288,907,0
429,1208,195400,7,5,2007,664,1208,0
430,1412,175000,6,5,1988,1005,1412,0
431,987,85400,6,5,1971,387,483,504
432,1198,79900,6,7,1920,0,1088,110
433,1365,122500,5,5,1971,471,765,600
434,1604,181000,6,5,1997,0,926,678
435,630,81000,4,7,1972,495,630,0
436,1661,212000,7,6,1996,385,827,834
437,1118,116000,6,8,1920,0,734,384
438,904,119000,6,7,1926,0,904,0
439,694,90350,5,6,1913,365,694,0
440,1196,110000,6,8,1920,0,684,512
441,2402,555000,10,5,2008,1767,2402,0
442,1440,118000,4,4,1955,133,1440,0
443,1573,162900,5,7,1930,0,1128,445
444,1258,172500,7,5,2006,0,1258,0
445,1908,210000,7,5,1994,642,933,975
446,1689,127500,6,5,1956,0,1689,0
447,1888,190000,6,6,1966,247,1888,0
448,1886,199900,7,5,1998,0,956,930
449,1376,119500,6,6,1937,0,780,596
450,1183,120000,3,7,1948,331,679,504
451,813,110000,6,8,1930,0,813,0
452,1533,280000,7,5,1975,655,1533,0
453,1756,204000,6,5,1996,742,888,868
454,1590,210000,8,5,2008,0,786,804
455,1728,188000,5,5,1976,1606,1728,0
456,1242,175500,7,6,1973,916,1242,0
457,1344,98000,5,5,1916,0,624,720
458,1663,256000,4,6,1954,1116,1663,0
459,1666,161000,8,7,1925,0,833,833
460,1203,110000,5,4,1950,185,979,224
461,1935,263435,8,5,2009,544,832,1103
462,1135,155000,7,9,1936,350,575,560
463,864,62383,5,5,1965,553,864,0
464,1660,188700,6,7,1934,326,849,811
465,1040,124000,5,5,1978,616,1040,0
466,1414,178740,7,5,2004,0,1414,0
467,1277,167000,7,5,1970,778,1277,0
468,1644,146500,5,7,1942,386,888,756
469,1634,250000,8,5,2006,0,1634,0
470,1710,187000,6,5,1993,426,832,878
471,1502,212000,8,5,1985,368,1502,0
472,1969,190000,7,6,1977,0,1161,808
473,1072,148000,6,5,2005,459,1072,0
474,1976,440000,8,5,2006,1350,1976,0
475,1652,251000,8,5,2000,1196,1652,0
476,970,132500,5,6,1963,630,970,0
477,1493,208900,6,5,1997,994,1493,0
478,2643,380000,9,5,2006,0,2069,574
479,1718,297000,8,5,2007,1288,1718,0
480,1131,89471,4,7,1937,168,1131,0
481,1850,326000,9,5,2004,1261,1850,0
482,1792,374000,9,5,2003,1567,1792,0
483,1826,155000,7,8,1915,299,916,910
484,1216,164000,6,5,1998,897,1216,0
485,999,132500,5,7,1962,588,999,0
486,1113,147000,5,7,1950,607,1113,0
487,1073,156000,5,7,1965,836,1073,0
488,1484,175000,5,6,1971,998,1484,0
489,2414,160000,5,4,1900,664,1766,648
490,630,86000,4,8,1970,515,630,0
491,1304,115000,5,6,1976,0,616,688
492,1578,133000,6,7,1941,403,958,620
493,1456,172785,6,5,2006,0,728,728
494,1269,155000,5,6,1960,374,1269,0
495,886,91300,5,8,1938,0,886,0
496,720,34900,4,5,1920,495,720,0
497,3228,430000,8,5,1992,1231,3228,0
498,1820,184000,7,6,1925,329,1133,687
499,899,130000,5,7,1967,450,899,0
500,912,120000,5,7,1958,111,912,0
501,1218,113000,6,5,1973,356,672,546
502,1768,226700,7,5,2005,400,866,902
503,1214,140000,5,7,1965,698,1214,0
504,1801,289000,7,8,1959,1247,1801,0
505,1322,147000,6,5,1974,257,855,467
506,1960,124500,5,5,1952,0,960,1000
507,1911,215000,8,5,1993,380,1065,846
508,1218,208300,6,5,2009,27,1218,0
509,1378,161000,7,9,1928,141,689,689
510,1041,124500,5,6,1959,991,1041,0
511,1363,164900,5,7,1951,650,1363,0
512,1368,202665,7,5,2005,0,1368,0
513,864,129900,5,5,1958,521,864,0
514,1080,134000,6,5,1983,336,1080,0
515,789,96500,5,5,1926,0,789,0
516,2020,402861,10,5,2009,1436,2020,0
517,2119,158000,6,6,1972,0,1378,741
518,2344,265000,7,5,1996,0,1277,1067
519,1796,211000,6,5,1998,706,882,914
520,2080,234000,7,9,1926,0,1276,804
521,1294,106250,4,7,1900,0,694,600
522,1244,150000,6,6,1957,777,1244,0
523,1664,159000,6,7,1947,399,1004,660
524,4676,184750,10,5,2007,2260,3138,1538
525,2398,315750,7,5,1996,719,1383,1015
526,1266,176000,7,5,2005,0,1266,0
527,928,132000,5,7,1956,377,928,0
528,2713,446261,9,5,2008,1330,1476,1237
529,605,86000,4,7,1920,348,605,0
530,2515,200624,6,3,1957,1219,2515,0
531,1509,175000,6,5,1988,783,1509,0
532,1362,128000,6,8,1920,0,751,611
533,827,107500,5,7,1955,0,827,0
534,334,39300,1,3,1946,0,334,0
535,1414,178000,8,5,2004,0,707,707
536,1347,107500,5,7,1910,969,820,527
537,1724,188000,7,5,1998,0,880,844
538,864,111250,4,5,1972,600,864,0
539,1159,158000,5,5,1968,673,1159,0
540,1601,272000,8,5,2001,1358,1601,0
541,1838,315000,9,5,2006,1260,1838,0
542,2285,248000,8,5,2000,0,997,1288
543,1680,213250,7,5,1998,144,1680,0
544,767,133000,7,5,1998,584,767,0
545,1496,179665,7,5,2006,554,664,832
546,2183,229000,7,5,1988,1002,1377,806
547,1635,210000,6,7,1923,300,915,720
548,768,129500,5,7,1970,619,768,0
549,825,125000,5,7,1955,180,825,0
550,2094,263000,7,5,2003,0,912,1182
551,1069,140000,6,6,1977,559,1069,0
552,928,112500,5,6,1957,308,928,0
553,1717,255500,8,5,2006,0,1717,0
554,1126,108000,4,5,1949,0,1126,0
555,2046,284000,7,5,2003,866,1006,1040
556,1048,113000,5,6,1922,0,1048,0
557,1092,141000,5,5,1957,895,1092,0
558,1336,108000,4,6,1920,637,897,439
559,1446,175000,7,5,1996,604,729,717
560,1557,234000,7,5,2003,0,1557,0
561,1392,121500,5,6,1957,1302,1392,0
562,1389,170000,5,5,1974,1071,1389,0
563,996,108000,5,6,1940,290,996,0
564,1674,185000,6,7,1918,0,1163,511
565,2295,268000,7,5,1992,728,1166,1129
566,1647,128000,6,4,1915,0,841,806
567,2504,325000,9,5,2005,0,1134,1370
568,1535,214000,7,5,2004,2,1535,0
569,2132,316600,8,8,1983,1441,1496,636
570,943,135960,5,5,1979,943,943,0
571,1728,142600,5,5,1965,231,1728,0
572,864,120000,6,6,1959,414,864,0
573,1692,224500,7,5,2009,0,846,846
574,1430,170000,7,5,2000,0,774,656
575,1109,139000,5,7,1971,349,576,533
576,1216,118500,5,5,1947,442,832,384
577,1477,145000,7,7,1928,0,877,600
578,1320,164500,5,6,1966,328,1320,0
579,1392,146000,7,5,2007,0,703,689
580,1795,131500,5,5,1954,0,1050,745
581,1429,181900,6,6,1960,594,1429,0
582,2042,253293,8,5,2008,0,2042,0
583,816,118500,6,5,1990,816,816,0
584,2775,325000,10,9,1893,0,1521,1254
585,1573,133000,4,7,1935,0,989,584
586,2028,369900,8,5,2005,1460,2028,0
587,838,130000,6,7,1918,210,838,0
588,860,137000,5,6,1982,672,860,0
589,1473,143000,5,8,1968,1324,1473,0
590,935,79500,5,6,1930,0,779,0
591,1582,185900,7,5,2004,490,770,812
592,2296,451950,10,5,2008,1338,1728,568
593,816,138000,5,8,1982,816,816,0
594,848,140000,6,5,2003,685,848,0
595,924,110000,5,6,1975,0,924,0
596,1826,319000,8,5,2005,1422,1826,0
597,1368,114504,6,7,1910,0,684,684
598,1402,194201,7,5,2006,0,1402,0
599,1647,217500,5,6,1977,1283,1647,0
600,1556,151000,6,6,1980,81,716,840
601,1904,275000,8,5,2005,546,1058,846
602,1375,141000,6,6,1937,0,780,595
603,1915,220000,8,5,1992,789,927,988
604,1200,151000,7,5,2004,0,600,600
605,1494,221000,7,5,2002,922,1494,0
606,1986,205000,7,6,1965,454,1186,800
607,1040,152000,5,5,1996,732,1040,0
608,2008,225000,5,8,1948,603,1112,896
609,3194,359100,8,6,1934,428,1940,1254
610,1029,118500,4,5,1961,903,1029,0
611,2153,313000,9,5,2000,904,1476,677
612,1032,148000,6,6,1978,605,1032,0
613,1872,261500,8,5,2001,990,1299,573
614,1120,147000,5,5,2007,206,1120,0
615,630,75500,4,6,1972,150,630,0
616,1054,137500,6,7,1963,763,1054,0
617,1509,183200,6,5,2002,457,807,702
618,832,105500,6,6,1954,0,832,0
619,1828,314813,9,5,2007,48,1828,0
620,2262,305000,8,5,2003,871,1482,780
621,864,67000,3,3,1914,41,864,0
622,2614,240000,6,7,1974,956,1548,1066
623,980,135000,5,6,1977,560,980,0
624,1512,168500,6,5,2000,420,756,756
625,1790,165150,6,5,1972,247,1012,778
626,1116,160000,6,6,1962,0,1116,0
627,1422,139900,5,5,1960,0,1422,0
628,1520,153000,6,6,1955,674,1520,0
629,2080,135000,5,5,1969,650,1040,1040
630,1350,168500,6,5,1964,624,1350,0
631,1750,124000,5,6,1880,0,1089,661
632,1554,209500,8,5,2006,24,1554,0
633,1411,82500,7,5,1977,822,1411,0
634,1056,139400,5,7,1954,480,1056,0
635,1056,144000,6,5,1980,1056,1056,0
636,3395,200000,6,7,1914,256,1440,1440
637,800,60000,2,3,1936,0,800,0
638,1387,93000,5,4,1954,0,811,576
639,796,85000,5,7,1910,0,796,0
640,1567,264561,8,5,2006,1154,1567,0
641,1518,274000,8,5,2003,1218,1518,0
