Total_bill,Tip,Sex,Smoker,Day,Time,Size,Tax
44.3,2.5,Female,Yes,Sat,Dinner,3,4.43
22.42,3.48,Female,Yes,Sat,Dinner,2,2.242
20.92,4.08,Female,No,Sat,Dinner,2,2.092
15.36,1.64,Male,Yes,Sat,Dinner,2,1.536
20.49,4.06,Male,Yes,Sat,Dinner,2,2.049
25.21,4.29,Male,Yes,Sat,Dinner,2,2.521
18.24,3.76,Male,No,Sat,Dinner,2,1.824
14.31,4,Female,Yes,Sat,Dinner,2,1.431
14,3,Male,No,Sat,Dinner,2,1.4
7.25,1,Female,No,Sat,Dinner,1,0.725
38.07,4,Male,No,Sun,Dinner,3,3.807
23.95,2.55,Male,No,Sun,Dinner,2,
25.71,4,Female,No,Sun,Dinner,3,2.571
17.31,3.5,Female,No,Sun,Dinner,2,1.731
29.93,5.07,Male,No,Sun,Dinner,4,2.993
10.65,1.5,Female,No,Thur,Lunch,2,1.065
12.43,1.8,Female,No,Thur,Lunch,2,1.243
24.08,2.92,Female,No,Thur,Lunch,4,2.408
11.69,2.31,Male,No,Thur,Lunch,2,1.169
13.42,1.68,Female,No,Thur,Lunch,2,1.342
14.26,2.5,Male,No,Thur,Lunch,2,1.426
15.95,2,Male,No,Thur,Lunch,2,1.595
12.48,2.52,Female,No,Thur,Lunch,2,1.248
29.8,4.2,Female,No,Thur,Lunch,6,2.98
8.52,1.48,Male,No,Thur,Lunch,2,0.852
14.52,2,Female,No,Thur,Lunch,2,1.452
11.38,2,Female,No,Thur,Lunch,2,1.138
22.82,2.18,Male,No,Thur,Lunch,3,2.282
19.08,1.5,Male,No,Thur,Lunch,2,1.908
20.27,2.83,Female,No,Thur,Lunch,2,2.027
11.17,1.5,Female,No,Thur,Lunch,2,1.117
12.26,2,Female,No,Thur,Lunch,2,1.226
18.26,3.25,Female,No,Thur,Lunch,2,1.826
8.51,1.25,Female,No,Thur,Lunch,2,0.851
10.33,2,Female,No,Thur,Lunch,2,1.033
14.15,2,Female,No,Thur,Lunch,2,1.415
16,2,Male,Yes,Thur,Lunch,2,1.6
13.16,2.75,Female,No,Thur,Lunch,2,1.316
17.47,3.5,Female,No,Thur,Lunch,2,1.747
34.3,6.7,Male,No,Thur,Lunch,6,3.43
41.19,5,Male,No,Thur,Lunch,5,4.119
27.05,5,Female,No,Thur,Lunch,6,2.705
16.43,2.3,Female,No,Thur,Lunch,2,1.643
8.35,1.5,Female,No,Thur,Lunch,2,0.835
18.64,1.36,Female,No,Thur,Lunch,3,1.864
11.87,1.63,Female,No,Thur,Lunch,2,1.187
9.78,1.73,Male,No,Thur,Lunch,2,0.978
7.51,2,Male,No,Thur,Lunch,2,0.751
14.07,2.5,Male,No,Sun,Dinner,2,1.407
13.13,2,Male,No,Sun,Dinner,2,1.313
17.26,2.74,Male,No,Sun,Dinner,3,
24.55,2,Male,No,Sun,Dinner,4,2.455
19.77,2,Male,No,Sun,Dinner,4,1.977
29.85,5.14,Female,No,Sun,Dinner,5,2.985
48.17,5,Male,No,Sun,Dinner,6,4.817
25,3.75,Female,No,Sun,Dinner,4,2.5
13.39,2.61,Female,No,Sun,Dinner,2,1.339
16.49,2,Male,No,Sun,Dinner,4,1.649
21.5,3.5,Male,No,Sun,Dinner,4,2.15
12.66,2.5,Male,No,Sun,Dinner,2,1.266
16.21,2,Female,No,Sun,Dinner,3,1.621
13.81,2,Male,No,Sun,Dinner,2,1.381
17.51,3,Female,Yes,Sun,Dinner,2,1.751
24.52,3.48,Male,No,Sun,Dinner,3,2.452
20.76,2.24,Male,No,Sun,Dinner,2,2.076
31.71,4.5,Male,No,Sun,Dinner,4,3.171
10.59,1.61,Female,Yes,Sat,Dinner,2,1.059
10.63,2,Female,Yes,Sat,Dinner,2,1.063
50.81,10,Male,Yes,Sat,Dinner,3,5.081
15.81,3.16,Male,Yes,Sat,Dinner,2,1.581
7.25,5.15,Male,Yes,Sun,Dinner,2,0.725
31.85,3.18,Male,Yes,Sun,Dinner,2,3.185
16.82,4,Male,Yes,Sun,Dinner,2,1.682
32.9,3.11,Male,Yes,Sun,Dinner,2,3.29
17.89,2,Male,Yes,Sun,Dinner,2,1.789
14.48,2,Male,Yes,Sun,Dinner,2,1.448
9.6,4,Female,Yes,Sun,Dinner,2,0.96
34.63,3.55,Male,Yes,Sun,Dinner,2,3.463
34.65,3.68,Male,Yes,Sun,Dinner,4,3.465
23.33,5.65,Male,Yes,Sun,Dinner,2,
45.35,3.5,Male,Yes,Sun,Dinner,3,4.535
23.17,6.5,Male,Yes,Sun,Dinner,4,2.317
40.55,3,Male,Yes,Sun,Dinner,2,4.055
20.69,5,Male,No,Sun,Dinner,5,2.069
20.9,3.5,Female,Yes,Sun,Dinner,3,2.09
30.46,2,Male,Yes,Sun,Dinner,5,3.046
18.15,3.5,Female,Yes,Sun,Dinner,3,1.815
23.1,4,Male,Yes,Sun,Dinner,3,2.31
15.69,1.5,Male,Yes,Sun,Dinner,2,1.569
19.81,4.19,Female,Yes,Thur,Lunch,2,1.981
28.44,2.56,Male,Yes,Thur,Lunch,2,2.844
15.48,2.02,Male,Yes,Thur,Lunch,2,1.548
16.58,4,Male,Yes,Thur,Lunch,2,1.658
7.56,1.44,Male,No,Thur,Lunch,2,0.756
10.34,2,Male,Yes,Thur,Lunch,2,1.034
43.11,5,Female,Yes,Thur,Lunch,4,4.311
13,2,Female,Yes,Thur,Lunch,2,1.3
13.51,2,Male,Yes,Thur,Lunch,2,1.351
18.71,4,Male,Yes,Thur,Lunch,3,1.871
12.74,2.01,Female,Yes,Thur,Lunch,2,1.274
13,2,Female,Yes,Thur,Lunch,2,1.3
16.4,2.5,Female,Yes,Thur,Lunch,2,1.64
20.53,4,Male,Yes,Thur,Lunch,4,2.053
16.47,3.23,Female,Yes,Thur,Lunch,3,1.647
26.59,3.41,Male,Yes,Sat,Dinner,3,2.659
38.73,3,Male,Yes,Sat,Dinner,4,3.873
24.27,2.03,Male,Yes,Sat,Dinner,2,2.427
12.76,2.23,Female,Yes,Sat,Dinner,2,1.276
30.06,2,Male,Yes,Sat,Dinner,3,3.006
25.89,5.16,Male,Yes,Sat,Dinner,4,2.589
48.33,9,Male,No,Sat,Dinner,4,4.833
13.27,2.5,Female,Yes,Sat,Dinner,2,1.327
28.17,6.5,Female,Yes,Sat,Dinner,3,2.817
12.9,1.1,Female,Yes,Sat,Dinner,2,1.29
28.15,3,Male,Yes,Sat,Dinner,5,2.815
11.59,1.5,Male,Yes,Sat,Dinner,2,1.159
7.74,1.44,Male,Yes,Sat,Dinner,2,0.774
30.14,3.09,Female,Yes,Sat,Dinner,4,3.014
12.16,2.2,Male,Yes,Fri,Lunch,2,1.216
13.42,3.48,Female,Yes,Fri,Lunch,2,1.342
8.58,1.92,Male,Yes,Fri,Lunch,1,0.858
15.98,3,Female,No,Fri,Lunch,3,1.598
13.42,1.58,Male,Yes,Fri,Lunch,2,1.342
16.27,2.5,Female,Yes,Fri,Lunch,2,1.627
10.09,2,Female,Yes,Fri,Lunch,2,1.009
20.45,3,Male,No,Sat,Dinner,4,2.045
13.28,2.72,Male,No,Sat,Dinner,2,1.328
22.12,2.88,Female,Yes,Sat,Dinner,2,2.212
24.01,2,Male,Yes,Sat,Dinner,4,2.401
15.69,3,Male,Yes,Sat,Dinner,3,1.569
11.61,3.39,Male,No,Sat,Dinner,2,1.161
10.77,1.47,Male,No,Sat,Dinner,2,1.077
15.53,3,Male,Yes,Sat,Dinner,2,1.553
10.07,1.25,Male,No,Sat,Dinner,2,1.007
12.6,1,Male,Yes,Sat,Dinner,2,1.26
32.83,1.17,Male,Yes,Sat,Dinner,2,3.283
35.83,4.67,Female,No,Sat,Dinner,3,3.583
29.03,5.92,Male,No,Sat,Dinner,3,2.903
27.18,2,Female,Yes,Sat,Dinner,2,2.718
22.67,2,Male,Yes,Sat,Dinner,2,2.267
17.82,1.75,Male,No,Sat,Dinner,2,1.782
18.78,3,Female,No,Thur,Dinner,2,1.878
